Text,Paraphrase
I ate the cheese.,I eat cheese.
I'm eating a yogurt.,I'm eating cheese.
I'm having some cheese.,I eat some cheese.
It's Monday.,It is Monday today.
It's Monday today.,Today is Monday.
"Today, it's Monday.",It is Monday.
Where is the library?,Where is the librarian?
Are you not able to speak English?,Can you speak English?
Can you speak English at all?,Do you know how to speak English?
Does he speak English?,Are they speaking English?
Does she speak English?,Are you speaking English?
You know English?,Do you speak English fluently?
Do you know English?,Can you not speak English?
I'll be there tomorrow.,I'll be here tomorrow.
I'm sort of tired.,I think I'm just tired.
I'm a bit tired.,I'm a little bit tired.
I feel kind of tired.,I think that I'm just exhausted.
"When Dad came home, I was watching TV.","When the father came home, I watched TV."
I owe him a debt.,I am indebted to him.
I owe him some money.,I owe him one.
I owe her one.,I owe you money.
I owe him money.,I owe her money.
My little brother is watching TV.,My brother watches television.
He refused to say more about that.,She refuses to say more about it.
I have no leisure for reading.,I have no time even for reading.
I haven't the time to read.,I don't even have time for reading.
"Say, Mike. Tell me how to get to your house.","By the way, Mike, please tell me how to get to your house."
Please let me in.,"Let me in, please."
Spring will be here before long.,Spring will come soon.
It will not be long before spring comes.,Spring will soon come.
Spring is coming soon.,Spring has come around.
Spring came on.,Spring is drawing near.
Spring is around the corner.,Spring has come.
It's spring.,Spring is here.
Spring arrived.,Spring will be here soon.
Spring is coming.,Spring is in the air.
It'll soon be spring.,Spring has arrived early.
Spring will arrive there soon.,Spring returned.
Spring has returned.,Monsoon is coming.
The monsoon season is coming.,Spring came.
It'll be spring soon.,It is springtime.
Applying in advance is not necessary.,You don’t need to apply in advance.
My favorite fish to eat is salmon.,My favorite fish is salmon.
What are you cross about?,What makes you so sad?
Why should you be so sad?,Why is it that she looks so sad?
Why are you looking so sad?,What made you so angry?
What made her so angry?,Why is he angry?
What caused you to be angry?,Why are you angry?
Why are you irritated?,Why is she angry?
Why are they angry?,Why are you guys so angry?
Why are you mad?,Why are you afraid?
What are you mad about?,Why does she look so sad?
Why the long face?,Why are you so nervous?
What are you so uptight about?,Why are you upset?
What are you angry about?,What are you so worried about?
Why do people feel afraid?,What are you so nervous about?
What are you sorry about?,Why are you scared?
Why are you getting upset?,Why are you flinching?
What made them so mad?,What made him so mad?
What made you mad?,What made him mad?
What made her mad?,What made you angry?
What made him angry?,What made her angry?
Why are you sad?,What got him so upset?
Why are they mad?,Why are you freaking out?
Why be afraid?,Why is he sad?
I love that store.,I love this store.
It's my money.,This money is mine.
This is my money.,That's my money.
I like the Occitan language.,I like Occitan.
Where is the bank?,Where is the money exchange counter?
Where's the bank?,Where is the currency exchange office?
All cats are grey in the dark.,At night all cats are grey.
Ready money will away.,That which is easily acquired is easily lost.
"Easy come, easy go.",Soon gotten soon spent.
Ill-gotten gains are short-lived.,Ill-gotten gains never benefit anyone.
Acquired by sin - there's no profit within.,Money on hand goes away.
Stolen money never bears fruit.,Ill-gotten never profit.
"When the cat is away, the mice will play.","When the cat's away, the mice do play."
"When the cat is not there, the mice are dancing.","When the landlord's away, the tenants will play."
"If the cat is outside, the mice dance on the table.",When the cat's away the mice will play.
"When the cat is blind, the mouse becomes bold.","When there is no tigers in mountains, the monkey becomes the king."
A man who knows two languages is worth two men.,The more languages you know the more of a person you are.
It's great here!,This is the perfect place.
This place is great.,This place is fantastic.
This place is awesome!,This is a great place.
This place is perfect.,This place is all right.
This is a fantastic place.,It's the ideal place.
It doesn't hurt.,It won't hurt.
I'm not an idiot.,I'm not stupid.
He's not sick.,You're not sick.
I'm not that stupid!,I'm not crazy.
I'm not a fool.,I'm no fool.
I'm not dumb.,I'm not insane.
I'm not mad.,I'm not sick.
I'm not a patient.,She's not sick.
I am not stupid.,It'll be painless.
It isn't going to hurt.,I'm not the crazy one.
I am not sick.,You aren't sick.
I am not ill.,I'm not a moron.
I'm no dummy.,I'm not a madman.
I'm not that dumb.,I'm not that crazy.
I miss that place.,I miss this place.
It was yesterday that I saw him.,I saw you yesterday.
I saw her yesterday.,I saw them yesterday.
I don't speak Japanese.,I cannot speak Japanese.
I couldn't speak Japanese.,He is speaking English.
He speaks English.,She can speak Japanese.
He's fluent in Japanese.,I can't speak Japanese.
He's able to speak Japanese.,I do not talk in Japanese.
She speaks English.,He speaks fluent Japanese.
The dog was dead.,The dog is dying.
The dog is as good as dead.,The dog is dead.
The mammal is dead.,The dog is close to death.
I want to dance.,I feel like dancing.
I'm too tired to walk.,I’m too tired to run.
We're not there yet.,We're not yet there.
Didn't you see my keys?,Do you know where my keys are?
I didn't see it.,I didn't see her.
I didn't see him.,I didn't see you.
I didn't see that.,I haven't seen it.
I haven't seen him.,I couldn't see.
I haven't seen that.,I hadn't seen that.
I live near the dike.,I live next to a dam.
This is my daughter.,She is a friend of mine.
You are my friend.,He's my friend.
She's my daughter.,She is one of my friends.
She's my friend.,That's my girl.
You're my friend.,He's my partner.
She's my partner.,You're my girlfriend.
She is my friend.,This is my girlfriend.
You are my girlfriend.,That's my daughter.
I don't know who this man is.,I don't know who that person is.
He practices playing the guitar far into the night.,He practices playing the guitar until late at night.
I made a desk of wood.,I made a wood table.
This scenery is magnificent.,The view is amazing.
The scenery is breathtaking.,The view is breathtaking.
I don't speak French well enough!,He could not speak French well.
He speaks poor French.,I'm not very good at speaking French.
I can't speak French very well.,My French isn't good enough.
I can't speak very much French.,I'm not a very good French speaker.
Have you watched television tonight?,Did you watch TV tonight?
My son believes in Father Christmas.,My son believes in Santa Claus.
It was very beautiful.,That was so cool.
It was pretty neat.,That was tight.
That was so amazing.,It was really nice.
It was pretty cool.,It was really cool.
It was very cool.,It was pretty.
It's fifty kilometers to Paris.,It is 50 kilometers to Paris.
A lot of birthday cards will arrive soon.,There will be a lot of birthday cards sent soon.
I can swim across the river.,I am able to swim across the river.
How long will you stay here?,How long are you going to stay?
How long will you be staying?,How long do you plan to stay?
Until when are you staying?,Are you going to stay long?
Do you plan to stay long?,How long did you stay there?
Since when you have been here?,How long are you staying here?
How long are you here for?,How long have you been in here?
How long do you plan on staying here?,How long were you there?
How long do you want to stay here?,How long would you like to stay?
For how long will you stay?,Why were you there for so long?
I thrust my hand into my pocket.,I shoved my hands into my pockets.
The fighting lasted one week.,The battle lasted a week.
Their car overtook ours.,Their car passed ours.
All you have to do is push this button to take a picture.,You just need to press this button to take a picture.
The river furnishes electric power to the town.,The river supplies the city with electricity.
"Were I you, I would start at once.","If I were you, I'd start immediately."
Where is the entrance?,Where's the entrance?
I never eat meat.,I am a vegetarian.
I am vegan.,I don't eat meat.
I'm a vegetarian.,I am vegetarian.
